comment,label
không làm việc đúng vật liệu rẻ tiền không làm việc đúng quạt quay kêu to dịch vụ bảo hành kém hỏng sau vài ngày vật liệu rẻ tiền máy lọc nước có mùi khó chịu có mùi khó chịu không hoạt động ổn định quạt quay kêu to quá nóng khi sử dụng vật liệu rẻ tiền dịch vụ bảo hành kém hỏng sau vài ngày vật liệu rẻ tiền tiêu thụ điện năng cao gây tiếng ồn lớn quá nóng khi sử dụng rò rỉ nước dịch vụ bảo hành kém chất lượng quá tệ rất thất vọng không đáng tiền làm mát yếu thiết kế quá xấu quá nóng khi sử dụng công suất yếu gây tiếng ồn lớn,1
cục nóng khá ồn tối ngủ cứ e e khó chịu vãi,0
không đáng tiền quạt quay kêu to dịch vụ bảo hành kém dịch vụ bảo hành kém làm mát yếu tiêu thụ điện năng cao không làm việc đúng rất thất vọng làm lạnh chậm đóng tuyết nhanh quá nóng khi sử dụng rất thất vọng quạt quay kêu to rất thất vọng tiêu thụ điện năng cao ồn ào khó chịu rất thất vọng quạt quay kêu to rò rỉ nước,1
bình thường,0
công suất yếu rò rỉ nước chất lượng quá tệ thiết kế quá xấu gây tiếng ồn lớn dịch vụ bảo hành kém đóng tuyết nhanh không hoạt động ổn định làm lạnh chậm đóng tuyết nhanh,1
không làm việc đúng làm mát yếu gây tiếng ồn lớn dịch vụ bảo hành kém quá nóng khi sử dụng làm lạnh chậm ồn ào khó chịu thiết kế quá xấu rò rỉ nước dịch vụ bảo hành kém đóng tuyết nhanh làm lạnh chậm,1
tạm thời là ổn áp,0
quạt quay mạnh mát êm có điều kiện sẽ mua thêm,0
máy ra nước nhanh mạnh rất ok,0
quạt sài ok nha em,0
quạt sài tốt,0
quạt mạnh gió mát lạnh,0
quạt xài ok lắm mà hợp với túi tiền bây giờ xanh nên giới thiệu đến người tiêu dùng,0
quạt quay kêu to không đáng tiền quá nóng khi sử dụng tủ lạnh vật liệu rẻ tiền chất lượng quá tệ rò rỉ nước dịch vụ bảo hành kém rất thất vọng tiêu thụ điện năng cao không đáng tiền rất thất vọng công suất yếu không đáng tiền công suất yếu tiêu thụ điện năng cao không làm việc đúng quạt quay kêu to công suất yếu đóng tuyết nhanh làm lạnh chậm quá nóng khi sử dụng làm lạnh chậm làm lạnh chậm không hoạt động ổn định,1
thiết kế quá xấu không đáng tiền thiết kế quá xấu rò rỉ nước máy lạnh rò rỉ nước máy lạnh vật liệu rẻ tiền quạt quay kêu to chất lượng quá tệ làm lạnh chậm dịch vụ bảo hành kém thiết kế quá xấu máy lạnh không đáng tiền ồn ào khó chịu,1
máy sử dụng rất ok,0
sp tốt,0
nhân viên lắp ok đồ dùng ok,0
mua được tháng sao quay cứ kêu cọc kẹt vậy trời giao cũng mẫu màu chụp hàng cảtrờimà thấy thua cả sekhông vài trăm,0
hàng chất lượng tốt,0
quạt kiểu dáng đẹp dùng tốt phù hợp với giá tiền,0
tủ lạnh đẹp và rất tốt,0
mới mua hôm nhân viên tư vấn nhiệt tình giao hàng đúng giờ lại đang sale giá rẻ qr pay lên giá cực ưu đãi điện máy xanh ngã máy xứ thành phố hải dương,0
không làm việc đúng rất thất vọng chất lượng quá tệ gây tiếng ồn lớn không hoạt động ổn định thiết kế quá xấu tủ lạnh công suất yếu tiêu thụ điện năng cao có mùi khó chịu đóng tuyết nhanh vật liệu rẻ tiền tủ lạnh đóng tuyết nhanh quạt quay kêu to gây tiếng ồn lớn thiết kế quá xấu công suất yếu vật liệu rẻ tiền làm lạnh chậm làm lạnh chậm,1
rò rỉ nước máy lọc nước làm mát yếu không đáng tiền công suất yếu thiết kế quá xấu quạt quay kêu to làm mát yếu chất lượng quá tệ có mùi khó chịu làm lạnh chậm máy lọc nước rò rỉ nước quá nóng khi sử dụng máy lọc nước làm lạnh chậm đóng tuyết nhanh quá nóng khi sử dụng rất thất vọng quá nóng khi sử dụng dịch vụ bảo hành kém tiêu thụ điện năng cao dịch vụ bảo hành kém đóng tuyết nhanh,1
không làm việc đúng tiêu thụ điện năng cao không đáng tiền hỏng sau vài ngày làm lạnh chậm vật liệu rẻ tiền chất lượng quá tệ rò rỉ nước làm lạnh chậm dịch vụ bảo hành kém quá nóng khi sử dụng đóng tuyết nhanh công suất yếu gây tiếng ồn lớn tiêu thụ điện năng cao gây tiếng ồn lớn vật liệu rẻ tiền gây tiếng ồn lớn ồn ào khó chịu thiết kế quá xấu tiêu thụ điện năng cao không đáng tiền tiêu thụ điện năng cao tiêu thụ điện năng cao,1
máy lọc nước chất lượng quá tệ rất thất vọng không đáng tiền có mùi khó chịu làm mát yếu không làm việc đúng tiêu thụ điện năng cao tiêu thụ điện năng cao thiết kế quá xấu quá nóng khi sử dụng thiết kế quá xấu tiêu thụ điện năng cao rò rỉ nước tiêu thụ điện năng cao máy lọc nước hỏng sau vài ngày không đáng tiền vật liệu rẻ tiền,1
chất lượng tốt,0
sản phẩm tốt nhưng nhân viên giao hàng kém,1
sản phẩm tốt,0
tủ chạy êm công năng tiện lợi chỉ ngăn đông mềm chưa ưng lắm vì mình để thịt thấy chẩy nước,0
bán hàng kém chất lượng bảo hành lâu không trách nhiệm,1
làm mát yếu quạt quay kêu to thiết kế quá xấu chất lượng quá tệ làm mát yếu làm mát yếu máy lọc nước làm lạnh chậm gây tiếng ồn lớn không làm việc đúng đóng tuyết nhanh làm lạnh chậm,1
rất thất vọng quạt quay kêu to không làm việc đúng vật liệu rẻ tiền làm lạnh chậm không đáng tiền không hoạt động ổn định quạt quay kêu to có mùi khó chịu hỏng sau vài ngày công suất yếu vật liệu rẻ tiền,1
quạt chạy em gió mạnh,0
tủ lạnh dùng tốt,0
quạt êm quá ưng giá tốt cảm ơn đmx cảm ơn a giao hàng cảm ơn toshiba,0
không làm việc đúng không đáng tiền rò rỉ nước không hoạt động ổn định không đáng tiền ồn ào khó chịu quạt mát có mùi khó chịu đóng tuyết nhanh có mùi khó chịu không làm việc đúng,1
thiết kế quá xấu ồn ào khó chịu rất thất vọng làm mát yếu máy lạnh làm mát yếu gây tiếng ồn lớn quá nóng khi sử dụng rất thất vọng quá nóng khi sử dụng quạt quay kêu to đóng tuyết nhanh có mùi khó chịu quá nóng khi sử dụng làm lạnh chậm dịch vụ bảo hành kém chất lượng quá tệ dịch vụ bảo hành kém làm mát yếu gây tiếng ồn lớn hỏng sau vài ngày làm mát yếu không đáng tiền có mùi khó chịu đóng tuyết nhanh không đáng tiền làm mát yếu ồn ào khó chịu hỏng sau vài ngày máy lạnh,1
rất mát và tốt cảm ơn shop,0
máy làm lạnh tốt chạy êm,0
mới mua về chưa biết như thế nào nhưng rất hài lòng về sản phẩm đẹp êm nhân viên nhiệt tình chu đáo giao hàng nhanh,0
bình thường càng ngày thì loại này quạt gió không mạnh như thời trước,0
ồn ào khó chịu không hoạt động ổn định rò rỉ nước làm mát yếu quá nóng khi sử dụng tủ lạnh quá nóng khi sử dụng tủ lạnh thiết kế quá xấu,1
mới mua ngày máy chạy êm không ồn rất ok,1
quạt xài êm gió mát màu sắc đẹp sẽ ủng hộ tiếp nhé,0
quạt êm mát chất lượng tốt,0
xài rất ok nha mọi người,0
ủng hộ sao,0
hiện tại mới dùng thì thấy cũng ổn định tuy nhiên về sau thì cũng chưa thể đánh giá chính xác được ve động cơ chạy nghệ hơi to,0
không làm việc đúng làm mát yếu không làm việc đúng làm lạnh chậm dịch vụ bảo hành kém,1
không kết nối wifi không được nhân viên không hướng dẫn,0
ồn ào khó chịu dịch vụ bảo hành kém không hoạt động ổn định ồn ào khó chịu làm mát yếu gây tiếng ồn lớn máy lọc nước thiết kế quá xấu không đáng tiền chất lượng quá tệ vật liệu rẻ tiền làm lạnh chậm vật liệu rẻ tiền hỏng sau vài ngày chất lượng quá tệ,1
sản phẩm sài tốt,0
sản phẩm tốt thuận tiện trong sh,0
mới mở ra thấy nó trầy hết đường mong kiểm tra dùm,0
mình mới mua được khoảng nửa tháng hiện tại máy chạy tốt rất êm về sau thì chưa biết,0
quạt quay kêu to làm lạnh chậm đóng tuyết nhanh công suất yếu quạt quay kêu to hỏng sau vài ngày rò rỉ nước gây tiếng ồn lớn không đáng tiền vật liệu rẻ tiền thiết kế quá xấu không đáng tiền có mùi khó chịu ồn ào khó chịu không làm việc đúng không đáng tiền làm lạnh chậm rất thất vọng rất thất vọng gây tiếng ồn lớn không hoạt động ổn định dịch vụ bảo hành kém thiết kế quá xấu ồn ào khó chịu công suất yếu quá nóng khi sử dụng hỏng sau vài ngày hỏng sau vài ngày,1
máy ok,0
hơi kêu,0
máy chạy êm nước ngon hài lòng,0
thấy được chưa vấn đề,1
không hoạt động ổn định không hoạt động ổn định quạt quay kêu to làm lạnh chậm làm lạnh chậm chất lượng quá tệ rò rỉ nước công suất yếu hỏng sau vài ngày hỏng sau vài ngày rò rỉ nước,1
không hoạt động ổn định quạt quay kêu to không làm việc đúng làm lạnh chậm làm lạnh chậm tiêu thụ điện năng cao không làm việc đúng hỏng sau vài ngày làm mát yếu làm mát yếu,1
quá nóng khi sử dụng tiêu thụ điện năng cao quá nóng khi sử dụng dịch vụ bảo hành kém quá nóng khi sử dụng dịch vụ bảo hành kém thiết kế quá xấu không hoạt động ổn định tiêu thụ điện năng cao hỏng sau vài ngày làm mát yếu tiêu thụ điện năng cao máy lạnh công suất yếu không đáng tiền máy lạnh vật liệu rẻ tiền có mùi khó chịu rò rỉ nước chất lượng quá tệ tiêu thụ điện năng cao rò rỉ nước đóng tuyết nhanh vật liệu rẻ tiền quạt quay kêu to đóng tuyết nhanh,1
rất ok,0
sản phẩm dùng thoải mái rộng rãi thích thiết kế bên trong tiện trữ đồ bảo quản tốt làm đá nhanh hoạt động êm,0
quạt dùng tốt mỗi tội tiếng kêu hơi to giá mà mềm chút nữa mình mua thêm vài chiếc nữa,0
máy lọc nước không làm việc đúng tiêu thụ điện năng cao rò rỉ nước không đáng tiền quạt quay kêu to có mùi khó chịu dịch vụ bảo hành kém chất lượng quá tệ quạt quay kêu to không làm việc đúng hỏng sau vài ngày rất thất vọng có mùi khó chịu làm lạnh chậm quạt quay kêu to đóng tuyết nhanh rò rỉ nước rất thất vọng máy lọc nước,1
sài rất ok sẽ ổn hộ dienmayxanh tiếp,0
máy lạnh tốt,0
sản phẩm dùng rất tốt ổn định êm,0
dùng được năm e rất ok mới mua thêm cho mẹ cái nữa,0
làm mát yếu vật liệu rẻ tiền thiết kế quá xấu hỏng sau vài ngày dịch vụ bảo hành kém rò rỉ nước không làm việc đúng tiêu thụ điện năng cao dịch vụ bảo hành kém quạt quay kêu to quá nóng khi sử dụng đóng tuyết nhanh vật liệu rẻ tiền dịch vụ bảo hành kém quạt quay kêu to quạt quay kêu to,1
gây tiếng ồn lớn ồn ào khó chịu có mùi khó chịu tiêu thụ điện năng cao công suất yếu công suất yếu chất lượng quá tệ vật liệu rẻ tiền quá nóng khi sử dụng không làm việc đúng gây tiếng ồn lớn,1
gây tiếng ồn lớn rò rỉ nước gây tiếng ồn lớn thiết kế quá xấu dịch vụ bảo hành kém không làm việc đúng máy lọc nước có mùi khó chịu rò rỉ nước rò rỉ nước làm lạnh chậm hỏng sau vài ngày quạt quay kêu to quá nóng khi sử dụng có mùi khó chịu không làm việc đúng vật liệu rẻ tiền rất thất vọng đóng tuyết nhanh quá nóng khi sử dụng rò rỉ nước vật liệu rẻ tiền,1
làm mát yếu tiêu thụ điện năng cao vật liệu rẻ tiền thiết kế quá xấu không hoạt động ổn định đóng tuyết nhanh rất thất vọng quạt quay kêu to quạt quay kêu to quá nóng khi sử dụng không làm việc đúng không hoạt động ổn định không hoạt động ổn định có mùi khó chịu rất thất vọng không đáng tiền,1
máy dùng rất oke,0
nhân viên tư vấn tủ nhiệt tình phù hợp với nhu cầu các em kỹ thuật viên tới đúng giờ lắp đặt chu đáo lắp xong dọn dẹp gọn gàng,0
hỏng sau vài ngày hỏng sau vài ngày vật liệu rẻ tiền rất thất vọng quạt quay kêu to máy lọc nước không đáng tiền không hoạt động ổn định rò rỉ nước không hoạt động ổn định không làm việc đúng,1
sao tư vấn lọc được chua mà nước uống vẫn chua chua chỉ dc,0
quạt mát đóng tuyết nhanh có mùi khó chịu rò rỉ nước làm mát yếu rò rỉ nước ồn ào khó chịu công suất yếu thiết kế quá xấu đóng tuyết nhanh quá nóng khi sử dụng rò rỉ nước có mùi khó chịu dịch vụ bảo hành kém tiêu thụ điện năng cao công suất yếu không đáng tiền không làm việc đúng làm lạnh chậm chất lượng quá tệ thiết kế quá xấu công suất yếu hỏng sau vài ngày quá nóng khi sử dụng vật liệu rẻ tiền thiết kế quá xấu vật liệu rẻ tiền thiết kế quá xấu,1
máy kêu rè rè và hơi ồn nóng bên nữa như thế nó có bị lỗi không vậy,1
làm mát yếu quạt quay kêu to máy lạnh công suất yếu công suất yếu làm lạnh chậm gây tiếng ồn lớn có mùi khó chịu rò rỉ nước quá nóng khi sử dụng tiêu thụ điện năng cao hỏng sau vài ngày không làm việc đúng tiêu thụ điện năng cao quạt quay kêu to quá nóng khi sử dụng,1
mơi mua tháng đã hư bảo hành châm chap,0
máy sử dụng ok ạ nhân viên lắp đặt dễ thương tận tình,0
thiết kế quá xấu rất thất vọng gây tiếng ồn lớn làm lạnh chậm hỏng sau vài ngày ồn ào khó chịu ồn ào khó chịu,1
vừa mua tủ lúc giờ giao đến nhà hp cắm điện đến giờ đêm ngăn đông ra toàn hơi gió hộp cá đông để tan cả nước ngăn mát bên dưới thì không hoạt động ra miếng gió hay hơi mát nào cả,1
máy đẹp nóng lạnh tiện,0
máy lọc nước thiết kế quá xấu gây tiếng ồn lớn làm lạnh chậm dịch vụ bảo hành kém vật liệu rẻ tiền đóng tuyết nhanh không đáng tiền có mùi khó chịu thiết kế quá xấu không hoạt động ổn định không hoạt động ổn định đóng tuyết nhanh chất lượng quá tệ hỏng sau vài ngày rất thất vọng ồn ào khó chịu thiết kế quá xấu quạt quay kêu to hỏng sau vài ngày hỏng sau vài ngày chất lượng quá tệ ồn ào khó chịu máy lọc nước quá nóng khi sử dụng tiêu thụ điện năng cao rất thất vọng ồn ào khó chịu gây tiếng ồn lớn ồn ào khó chịu,1
rất tốt,0
chạy mạnh quá trời nhân viên nhiệt tình tư vấn sẽ giới thiệu cho người khác,0
hiện tại máy chạy êm lạnh tốt nhân viên lắp đặt nhiệt tình cẩn thận,0
quạt quay kêu to làm mát yếu thiết kế quá xấu quạt quay kêu to không đáng tiền tiêu thụ điện năng cao vật liệu rẻ tiền tiêu thụ điện năng cao rò rỉ nước làm mát yếu không làm việc đúng làm lạnh chậm không làm việc đúng dịch vụ bảo hành kém đóng tuyết nhanh rò rỉ nước làm mát yếu có mùi khó chịu máy lọc nước rất thất vọng máy lọc nước làm lạnh chậm làm mát yếu rất thất vọng không hoạt động ổn định dịch vụ bảo hành kém làm lạnh chậm máy lọc nước,1
thiếu dây giựt để điều khiển quạt xoay hoặc đứng dây giựt điều chỉnh tốc độ kêu to quá,0
xinh trắng như ngọc trinh thật mình có đọc bình luận thấy có bạn kêu ồn mà của mình không hề ồn êm nha toshiba vẫn là đỉnh cao,1
làm mát yếu gây tiếng ồn lớn dịch vụ bảo hành kém dịch vụ bảo hành kém dịch vụ bảo hành kém đóng tuyết nhanh công suất yếu không đáng tiền hỏng sau vài ngày ồn ào khó chịu vật liệu rẻ tiền rò rỉ nước không đáng tiền có mùi khó chịu chất lượng quá tệ máy lọc nước không hoạt động ổn định làm lạnh chậm quạt quay kêu to rò rỉ nước rò rỉ nước có mùi khó chịu thiết kế quá xấu chất lượng quá tệ quạt quay kêu to vật liệu rẻ tiền không hoạt động ổn định máy lọc nước,1
mới sài tuần mình chưa quánh giá được nhưng mà thấy tin nhắn zalo nên vô đánh giá,0
mới mua về ngày đầu thì tủ kêu re re rất khó chịu sau ngày thì tủ chạy êm ru ban đêm không nghe tiếng gì làm đá nhanh ít nóng bên hông tủ nhìn chung tủ rất ok nếu gia đình ít người thì mua tủ này là hợp lý,1
